,id,thread_title,reply_split,classification,reply_sub,reply_words,entity,entity_locs,spin,speed,hardness,tackiness,weight,control,throw angle,durability,blocking,looping,throw,specific_aspects_cnt,g_comparative_word_begin_idx,g_comparative,g_comparative_words,comparative_word_begin_idx,comparative,comparative_words,comparative_aspects
264,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Tenergy 05 reacts quite a bit to topspin, although if you have an ALL blade, it should be fine.",descriptive,"Butterfly-Tenergy-05 reacts quite a bit to topspin, although if you have an ALL blade, it should be fine.","['Butterfly-Tenergy-05', 'reacts', 'quite', 'a', 'bit', 'to', 'topspin', ',', 'although', 'if', 'you', 'have', 'an', 'ALL', 'blade', ',', 'it', 'should', 'be', 'fine', '.']",['Butterfly-Tenergy-05'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
265,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Baracuda is very good with incoming spin, and would be fine with any blade.",descriptive,"Donic-Baracuda is very good with incoming spin, and would be fine with any blade.","['Donic-Baracuda', 'is', 'very', 'good', 'with', 'incoming', 'spin', ',', 'and', 'would', 'be', 'fine', 'with', 'any', 'blade', '.']",['Donic-Baracuda'],[0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
267,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,Tenergy has many complaints of it being non-durable.,descriptive,Butterfly-Tenergy has many complaints of it being non-durable.,"['Butterfly-Tenergy', 'has', 'many', 'complaints', 'of', 'it', 'being', 'non-durable', '.']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
271,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Baracuda has never had complaints about it breaking easily, so Donic wins this one.",descriptive,"Donic-Baracuda has never had complaints about it breaking easily, so Donic wins this one.","['Donic-Baracuda', 'has', 'never', 'had', 'complaints', 'about', 'it', 'breaking', 'easily', ',', 'so', 'Donic', 'wins', 'this', 'one', '.']",['Donic-Baracuda'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
295,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Tenergy often has many complaints of it being incredibly heavy per sheet, but many reviews say it is worth it.",descriptive,"Butterfly-Tenergy often has many complaints of it being incredibly heavy per sheet, but many reviews say it is worth it.","['Butterfly-Tenergy', 'often', 'has', 'many', 'complaints', 'of', 'it', 'being', 'incredibly', 'heavy', 'per', 'sheet', ',', 'but', 'many', 'reviews', 'say', 'it', 'is', 'worth', 'it', '.']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
298,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Tenergy 05 reacts quite a bit to topspin, although if you have an ALL blade, it should be fine.",descriptive,"Butterfly-Tenergy-05 reacts quite a bit to topspin, although if you have an ALL blade, it should be fine.","['Butterfly-Tenergy-05', 'reacts', 'quite', 'a', 'bit', 'to', 'topspin', ',', 'although', 'if', 'you', 'have', 'an', 'ALL', 'blade', ',', 'it', 'should', 'be', 'fine', '.']",['Butterfly-Tenergy-05'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
299,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Baracuda is very good with incoming spin, and would be fine with any blade.",descriptive,"Donic-Baracuda is very good with incoming spin, and would be fine with any blade.","['Donic-Baracuda', 'is', 'very', 'good', 'with', 'incoming', 'spin', ',', 'and', 'would', 'be', 'fine', 'with', 'any', 'blade', '.']",['Donic-Baracuda'],[0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
301,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,Tenergy has many complaints of it being non-durable.,descriptive,Butterfly-Tenergy has many complaints of it being non-durable.,"['Butterfly-Tenergy', 'has', 'many', 'complaints', 'of', 'it', 'being', 'non-durable', '.']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
305,5f686de56da47ec32a42ce9f,Tenenergy 05 vs Donic Baracuda,"Baracuda has never had complaints about it breaking easily, so Donic wins this one.",descriptive,"Donic-Baracuda has never had complaints about it breaking easily, so Donic wins this one.","['Donic-Baracuda', 'has', 'never', 'had', 'complaints', 'about', 'it', 'breaking', 'easily', ',', 'so', 'Donic', 'wins', 'this', 'one', '.']",['Donic-Baracuda'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
345,5f686dfa6da47ec32a42ceaf,Tenergy 64 vs Tenergy 64 fx vs Tenergy 05 vs Tenergy 05 fx,"im a very big fan of tenergy 05, its great on both FH and BH, definitely not slow ( not blazingly fast either ) and an extremely spinny rubber, actually i rank its spin as second to hurricane",descriptive,"im a very big fan of Butterfly-Tenergy-05, its great on both FH and BH, definitely not slow ( not blazingly fast either ) and an extremely spinny rubber, actually i rank its spin as second to DHS-Hurricane","['im', 'a', 'very', 'big', 'fan', 'of', 'Butterfly-Tenergy-05', ',', 'its', 'great', 'on', 'both', 'FH', 'and', 'BH', ',', 'definitely', 'not', 'slow', '(', 'not', 'blazingly', 'fast', 'either', ')', 'and', 'an', 'extremely', 'spinny', 'rubber', ',', 'actually', 'i', 'rank', 'its', 'spin', 'as', 'second', 'to', 'DHS-Hurricane']","['Butterfly-Tenergy-05', 'DHS-Hurricane']","[21, 195]",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"[78, 129]","['less', 'greater']","['low', 'spinny']",[87],['less'],['slow'],['speed']
352,5f686f47a1e880dd66b5fdda,Tibhar Evo EL-P vs FX-P for flicks and brushing loops,EL-P felt a little too passive.,descriptive,Tibhar-Evolution-EL-P felt a little too passive.,"['Tibhar-Evolution-EL-P', 'felt', 'a', 'little', 'too', 'passive', '.']",['Tibhar-Evolution-EL-P'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[19],['less'],['too '],[],[],[],[]
356,5f686f47a1e880dd66b5fdda,Tibhar Evo EL-P vs FX-P for flicks and brushing loops,In those soft/slow topspin hits it gripped the ball very inconsistently.,descriptive,In those soft/slow topspin hits it gripped the ball very inconsistently.,"['In', 'those', 'soft/slow', 'topspin', 'hits', 'it', 'gripped', 'the', 'ball', 'very', 'inconsistently', '.']",[],[],0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,[15],['less'],['low'],[14],['less'],['slow'],['speed']
373,5f686f49a1e880dd66b5fddb,"EL-P vs EL-S, Any Experiences, Please share",I've play with MX-P on backhand before and found it too fast.,descriptive,I've play with Tibhar-Evolution-MX-P on backhand before and found it too fast.,"['I', ""'ve"", 'play', 'with', 'Tibhar-Evolution-MX-P', 'on', 'backhand', 'before', 'and', 'found', 'it', 'too', 'fast', '.']",['Tibhar-Evolution-MX-P'],[16],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[52],['less'],['too '],[],[],[],[]
382,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,Mantra m is ok,descriptive,Stiga-Mantra-M is ok,"['Stiga-Mantra-M', 'is', 'ok']",['Stiga-Mantra-M'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
386,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,I have it on one of my blades for the moment and must say it is very controllable.,descriptive,I have it on one of my blades for the moment and must say it is very controllable.,"['I', 'have', 'it', 'on', 'one', 'of', 'my', 'blades', 'for', 'the', 'moment', 'and', 'must', 'say', 'it', 'is', 'very', 'controllable', '.']",[],[],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
387,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,Not particularly spinny though.,descriptive,Not particularly spinny though.,"['Not', 'particularly', 'spinny', 'though', '.']",[],[],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[17],['greater'],['spinny'],[],[],[],[]
390,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,It's very spinny.,descriptive,It's very spinny.,"['It', ""'s"", 'very', 'spinny', '.']",[],[],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[10],['greater'],['spinny'],[],[],[],[]
393,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,It does not have the Catapult effect but i can loop an underspin serve easily and the soft sponge gives you enough dwell time and it quite forgiving,descriptive,It does not have the Catapult effect but i can loop an underspin serve easily and the soft sponge gives you enough dwell time and it quite forgiving,"['It', 'does', 'not', 'have', 'the', 'Catapult', 'effect', 'but', 'i', 'can', 'loop', 'an', 'underspin', 'serve', 'easily', 'and', 'the', 'soft', 'sponge', 'gives', 'you', 'enough', 'dwell', 'time', 'and', 'it', 'quite', 'forgiving']",[],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
396,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,"Genesis is a hybrid rubber which pretty much plays like a Chinese rubber, sticky surface but very little catapult to support strokes, it must be played more actively than Mantra.",descriptive,"Genesis is a hybrid rubber which pretty much plays like a Chinese-rubbers, sticky surface but very little catapult to support strokes, it must be played more actively than Mantra.","['Genesis', 'is', 'a', 'hybrid', 'rubber', 'which', 'pretty', 'much', 'plays', 'like', 'a', 'Chinese-rubbers', ',', 'sticky', 'surface', 'but', 'very', 'little', 'catapult', 'to', 'support', 'strokes', ',', 'it', 'must', 'be', 'played', 'more', 'actively', 'than', 'Mantra', '.']",['Chinese-rubbers'],[58],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[152],['greater'],['more'],[],[],[],[]
399,5f68727510fb22f7fce1f881,Stiga genesis m vs mantra m on bh,Genesis m is spinny and very durable.,descriptive,Stiga-Genesis-M is spinny and very durable.,"['Stiga-Genesis-M', 'is', 'spinny', 'and', 'very', 'durable', '.']",['Stiga-Genesis-M'],[0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,[13],['greater'],['spinny'],[],[],[],[]
424,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"O7P is definitely a solid rubber, it has that 'click' feeling when you hit which is awesome.",descriptive,"O7P is definitely a solid rubber, it has that 'click' feeling when you hit which is awesome.","['O7P', 'is', 'definitely', 'a', 'solid', 'rubber', ',', 'it', 'has', 'that', ""'click"", ""'"", 'feeling', 'when', 'you', 'hit', 'which', 'is', 'awesome', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
432,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,Tibhar Hybrid K1 is excellent stuff.,descriptive,Tibhar-Hybrid-K1 is excellent stuff.,"['Tibhar-Hybrid-K1', 'is', 'excellent', 'stuff', '.']",['Tibhar-Hybrid-K1'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
435,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,After playing O7P for a few weeks I was quite disappointed for its low spin.,descriptive,After playing O7P for a few weeks I was quite disappointed for its low spin.,"['After', 'playing', 'O7P', 'for', 'a', 'few', 'weeks', 'I', 'was', 'quite', 'disappointed', 'for', 'its', 'low', 'spin', '.']",[],[],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[67],['less'],['low'],[],[],[],[]
436,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"Control, feel and speed are all fine.",descriptive,"Control, feel and speed are all fine.","['Control', ',', 'feel', 'and', 'speed', 'are', 'all', 'fine', '.']",[],[],0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
438,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"However, O7P is awesome if you want a rubber not too sensitive to incoming spin.",descriptive,"However, O7P is awesome if you want a rubber not too sensitive to incoming spin.","['However', ',', 'O7P', 'is', 'awesome', 'if', 'you', 'want', 'a', 'rubber', 'not', 'too', 'sensitive', 'to', 'incoming', 'spin', '.']",[],[],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[49],['less'],['too '],[],[],[],[]
445,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"I had chance to play Vicky + DNA PRO M on both sides and I think DNA PRO M is perfect on bh but on fh too soft, I had chance to play OA7 and OE7, OP7 and you can read here that I really like Asia because you can generate good spin with nice arc.",descriptive,"I had chance to play Vicky + Stiga-DNA-Pro-M on both sides and I think Stiga-DNA-Pro-M is perfect on bh but on fh too soft, I had chance to play OA7 and OE7, OP7 and you can read here that I really like Asia because you can generate good spin with nice arc.","['I', 'had', 'chance', 'to', 'play', 'Vicky', '+', 'Stiga-DNA-Pro-M', 'on', 'both', 'sides', 'and', 'I', 'think', 'Stiga-DNA-Pro-M', 'is', 'perfect', 'on', 'bh', 'but', 'on', 'fh', 'too', 'soft', ',', 'I', 'had', 'chance', 'to', 'play', 'OA7', 'and', 'OE7', ',', 'OP7', 'and', 'you', 'can', 'read', 'here', 'that', 'I', 'really', 'like', 'Asia', 'because', 'you', 'can', 'generate', 'good', 'spin', 'with', 'nice', 'arc', '.']","['Stiga-DNA-Pro-M', 'Stiga-DNA-Pro-M']","[29, 71]",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,[102],['less'],['too '],[],[],[],[]
446,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"OE7 is good on bh but rubber is more for amateurs, safety shots, slower, forgive errors etc.",descriptive,"OE7 is good on bh but rubber is more for amateurs, safety shots, slower, forgive errors etc.","['OE7', 'is', 'good', 'on', 'bh', 'but', 'rubber', 'is', 'more', 'for', 'amateurs', ',', 'safety', 'shots', ',', 'slower', ',', 'forgive', 'errors', 'etc', '.']",[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[66, 32]","['less', 'greater']","['low', 'more']",[65],['less'],['slower'],['speed']
461,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"Omega VII PRO is more Forehand rubber it is fast with good control, with good grip, with very good feeling but when you make full swing it is really beast",descriptive,"Xiom-Omega-VII-Pro is more Forehand rubber it is fast with good control, with good grip, with very good feeling but when you make full swing it is really beast","['Xiom-Omega-VII-Pro', 'is', 'more', 'Forehand', 'rubber', 'it', 'is', 'fast', 'with', 'good', 'control', ',', 'with', 'good', 'grip', ',', 'with', 'very', 'good', 'feeling', 'but', 'when', 'you', 'make', 'full', 'swing', 'it', 'is', 'really', 'beast']",['Xiom-Omega-VII-Pro'],[0],0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,[17],['greater'],['more'],"[78, 59]","['greater', 'greater']","['good grip', 'good control']","['tackiness', 'control']"
467,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"O7P could be great for a player on BH, and I would play much better (hit faster, spinier shots) with a slower control rubber that is kinda on the soft side.",descriptive,"O7P could be great for a player on BH, and I would play much better (hit faster, spinier shots) with a slower control rubber that is kinda on the soft side.","['O7P', 'could', 'be', 'great', 'for', 'a', 'player', 'on', 'BH', ',', 'and', 'I', 'would', 'play', 'much', 'better', '(', 'hit', 'faster', ',', 'spinier', 'shots', ')', 'with', 'a', 'slower', 'control', 'rubber', 'that', 'is', 'kinda', 'on', 'the', 'soft', 'side', '.']",[],[],1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,"[104, 61]","['less', 'greater']","['low', 'better']","[81, 103, 73]","['greater', 'less', 'greater']","['spinier', 'slower', 'faster']","['spin', 'speed', 'speed']"
486,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,Xiom Omega 7 Pro is good rubber but I think V Tour is their best work and this is only my word.,descriptive,Xiom Omega 7 Pro is good rubber but I think Xiom-Omega-V-Tour is their best work and this is only my word.,"['Xiom', 'Omega', '7', 'Pro', 'is', 'good', 'rubber', 'but', 'I', 'think', 'Xiom-Omega-V-Tour', 'is', 'their', 'best', 'work', 'and', 'this', 'is', 'only', 'my', 'word', '.']",['Xiom-Omega-V-Tour'],[44],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[60],['greater'],['best'],[],[],[],[]
548,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,Asia feels too hard on backhand for me.,descriptive,Asia feels too hard on backhand for me.,"['Asia', 'feels', 'too', 'hard', 'on', 'backhand', 'for', 'me', '.']",[],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[11],['less'],['too '],[],[],[],[]
549,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,"Not too hard to the point of unplayable, but it's not to my liking.",descriptive,"Not too hard to the point of unplayable, but it's not to my liking.","['Not', 'too', 'hard', 'to', 'the', 'point', 'of', 'unplayable', ',', 'but', 'it', ""'s"", 'not', 'to', 'my', 'liking', '.']",[],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[4],['less'],['too '],[],[],[],[]
552,5f68729c10fb22f7fce1f898,Need a new BH rubber: O7P vs DNA Pro M?,Hyper is very hard and feels like a 41 degree Hurricane 3 in the backhand.,descriptive,Hyper is very hard and feels like a 41 degree DHS-Hurricane-3 in the backhand.,"['Hyper', 'is', 'very', 'hard', 'and', 'feels', 'like', 'a', '41', 'degree', 'DHS-Hurricane-3', 'in', 'the', 'backhand', '.']",['DHS-Hurricane-3'],[46],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
