thread_title,URL,author,num_reply
Serials system on Butterfly blades,showthread.php?13585-Serials-system-on-Butterfly-blades&s=3c84fc5a7a3d606bd5e661f368ed3358,Inkognito,8
What is the difference between all the Viscarias,showthread.php?15448-What-is-the-difference-between-all-the-Viscarias&s=3c84fc5a7a3d606bd5e661f368ed3358,Zaid323918,17
Going from classic rubber to Tenergy,showthread.php?14945-Going-from-classic-rubber-to-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,Fabian,23
Butterfly announces new Sping Sponge X,showthread.php?19807-Butterfly-announces-new-Sping-Sponge-X&s=3c84fc5a7a3d606bd5e661f368ed3358,ttpshot,83
Butterfly domination,showthread.php?19385-Butterfly-domination&s=3c84fc5a7a3d606bd5e661f368ed3358,Simas,16
Bitterfly viscaria,showthread.php?16383-Bitterfly-viscaria&s=3c84fc5a7a3d606bd5e661f368ed3358,rasko777,3
The best TENERGY rubber for the backhand flick ?,showthread.php?14978-The-best-TENERGY-rubber-for-the-backhand-flick&s=3c84fc5a7a3d606bd5e661f368ed3358,DanieleD,19
What rubbers will go well with Timo Boll Spark,showthread.php?14887-What-rubbers-will-go-well-with-Timo-Boll-Spark&s=3c84fc5a7a3d606bd5e661f368ed3358,Zaid323918,13
"Timo boll spirit FL OLD, Viscaria FL OLD",showthread.php?14446-Timo-boll-spirit-FL-OLD-Viscaria-FL-OLD&s=3c84fc5a7a3d606bd5e661f368ed3358,jozev2,1
Blade recognition!!!!,showthread.php?14255-Blade-recognition!!!!&s=3c84fc5a7a3d606bd5e661f368ed3358,doraemon,2
Tenergy Advice - T05 to T05fx,showthread.php?12335-Tenergy-Advice-T05-to-T05fx&s=3c84fc5a7a3d606bd5e661f368ed3358,Pricey 11,10
Whats is the difference between thibar el-p and buertfly tenergy,showthread.php?12372-Whats-is-the-difference-between-thibar-el-p-and-buertfly-tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,El Guiri,13
"Tenergy 64, 05, or 05 FX for BH",showthread.php?12221-Tenergy-64-05-or-05-FX-for-BH&s=3c84fc5a7a3d606bd5e661f368ed3358,XcmKing,2
Fake Tenergy,showthread.php?11667-Fake-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,castaway2020,19
Is this Viscaria real?,showthread.php?11466-Is-this-Viscaria-real&s=3c84fc5a7a3d606bd5e661f368ed3358,alex rogers,5
Butterfly Tenergy 05 or Tibhar Evolution MX-P?,showthread.php?11418-Butterfly-Tenergy-05-or-Tibhar-Evolution-MX-P&s=3c84fc5a7a3d606bd5e661f368ed3358,Pooh1256,19
Alternative to Tenergy 05fx,showthread.php?11241-Alternative-to-Tenergy-05fx&s=3c84fc5a7a3d606bd5e661f368ed3358,jcarlorl,4
butterfly primorac off-,showthread.php?11127-butterfly-primorac-off&s=3c84fc5a7a3d606bd5e661f368ed3358,TimoFan,3
Innerforce ZLF with 05 or 05fx ?,showthread.php?10811-Innerforce-ZLF-with-05-or-05fx&s=3c84fc5a7a3d606bd5e661f368ed3358,AndyCouchman,5
"""All About Tenergy"" Butterfly Science",showthread.php?10376-quot-All-About-Tenergy-quot-Butterfly-Science&s=3c84fc5a7a3d606bd5e661f368ed3358,schen,21
Timo boll spirit FL OLD x Petr korbel FL OLD,showthread.php?14499-Timo-boll-spirit-FL-OLD-x-Petr-korbel-FL-OLD&s=3c84fc5a7a3d606bd5e661f368ed3358,jozev2,6
Tenergy 25 compared to Tenergy 05?,showthread.php?10953-Tenergy-25-compared-to-Tenergy-05&s=3c84fc5a7a3d606bd5e661f368ed3358,Phil,48
Authenticity of Viscaria?,showthread.php?13181-Authenticity-of-Viscaria&s=3c84fc5a7a3d606bd5e661f368ed3358,Matthew,8
My Mizutani Super ZLC Plus Tenergy 05,showthread.php?12618-My-Mizutani-Super-ZLC-Plus-Tenergy-05&s=3c84fc5a7a3d606bd5e661f368ed3358,RajaLoopah,61
Dents in new rubber?,showthread.php?12751-Dents-in-new-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,CroneOne,6
Zlf,showthread.php?12073-Zlf&s=3c84fc5a7a3d606bd5e661f368ed3358,sherif_ry2,3
New Tenergy 05 package design :),showthread.php?11955-New-Tenergy-05-package-design-)&s=3c84fc5a7a3d606bd5e661f368ed3358,BrownRabbit,2
Butterfly innerforce layer series,showthread.php?10769-Butterfly-innerforce-layer-series&s=3c84fc5a7a3d606bd5e661f368ed3358,hazzaa96,5
Sriver G3 FX,showthread.php?10643-Sriver-G3-FX&s=3c84fc5a7a3d606bd5e661f368ed3358,LukasTT,4
Tenergy 05 or Tenergy 80?,showthread.php?10510-Tenergy-05-or-Tenergy-80&s=3c84fc5a7a3d606bd5e661f368ed3358,AndyCouchman,11
New Viscaria vs Old Viscaria,showthread.php?10487-New-Viscaria-vs-Old-Viscaria&s=3c84fc5a7a3d606bd5e661f368ed3358,eduardo1995filipe,14
Butterfly Moonbeam Alternative,showthread.php?10497-Butterfly-Moonbeam-Alternative&s=3c84fc5a7a3d606bd5e661f368ed3358,eduardo1995filipe,0
Viscaria perfect weigth to not get head heavy,showthread.php?10472-Viscaria-perfect-weigth-to-not-get-head-heavy&s=3c84fc5a7a3d606bd5e661f368ed3358,eduardo1995filipe,3
TENERGY 05 RUBBER - 2.1/1.9 or 1.5?,showthread.php?10021-TENERGY-05-RUBBER-2-1-1-9-or-1-5&s=3c84fc5a7a3d606bd5e661f368ed3358,MJB999,14
New Butterfly Catalog 2015,showthread.php?10029-New-Butterfly-Catalog-2015&s=3c84fc5a7a3d606bd5e661f368ed3358,Steven,1
Butterfly Gergely Alpha for pips?,showthread.php?9347-Butterfly-Gergely-Alpha-for-pips&s=3c84fc5a7a3d606bd5e661f368ed3358,harveyaquino,7
FH Rubber for Gergely Alpha?,showthread.php?9859-FH-Rubber-for-Gergely-Alpha&s=3c84fc5a7a3d606bd5e661f368ed3358,harveyaquino,20
innerforce zlc question,showthread.php?9866-innerforce-zlc-question&s=3c84fc5a7a3d606bd5e661f368ed3358,TableTennisNerd,0
Anyone tried Innerforce ZLC?,showthread.php?9531-Anyone-tried-Innerforce-ZLC&s=3c84fc5a7a3d606bd5e661f368ed3358,harveyaquino,1
Anyone try Butterfly Innershield ZLF,showthread.php?9421-Anyone-try-Butterfly-Innershield-ZLF&s=3c84fc5a7a3d606bd5e661f368ed3358,felixsum,0
Finally... Did anyone else feel this way?...,showthread.php?9364-Finally-Did-anyone-else-feel-this-way&s=3c84fc5a7a3d606bd5e661f368ed3358,TableTennisNerd,5
New! Tenergy 99! Coming soon!,showthread.php?9329-New!-Tenergy-99!-Coming-soon!&s=3c84fc5a7a3d606bd5e661f368ed3358,TableTennisNerd,16
Offensive backhand rubber?,showthread.php?9266-Offensive-backhand-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,Colonel_Unicorn,20
Which of this rubbers is the best for my blade ?,showthread.php?9177-Which-of-this-rubbers-is-the-best-for-my-blade&s=3c84fc5a7a3d606bd5e661f368ed3358,MadridWalker,2
Cheap Tenergy,showthread.php?8612-Cheap-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,agold,16
Question about Butterfly balls,showthread.php?10793-Question-about-Butterfly-balls&s=3c84fc5a7a3d606bd5e661f368ed3358,Cornel,0
New Butterfly 2015 blades,showthread.php?9865-New-Butterfly-2015-blades&s=3c84fc5a7a3d606bd5e661f368ed3358,harveyaquino,21
Should I buy used Tenergy 05??,showthread.php?9126-Should-I-buy-used-Tenergy-05&s=3c84fc5a7a3d606bd5e661f368ed3358,tt-cro,14
Any experience with Butterfly Spinart?,showthread.php?8824-Any-experience-with-Butterfly-Spinart&s=3c84fc5a7a3d606bd5e661f368ed3358,harveyaquino,27
Sponge thickness,showthread.php?8506-Sponge-thickness&s=3c84fc5a7a3d606bd5e661f368ed3358,zlindsey,6
Best butterfly blade for my style out of these 4 choices?,showthread.php?6330-Best-butterfly-blade-for-my-style-out-of-these-4-choices&s=3c84fc5a7a3d606bd5e661f368ed3358,Albert Lau,27
New Butterfly Tenergy 80 FX,showthread.php?7450-New-Butterfly-Tenergy-80-FX&s=3c84fc5a7a3d606bd5e661f368ed3358,Giangt,60
Anyone know where I can buy a pair of Butterfly EnergyForce 11's?,showthread.php?8009-Anyone-know-where-I-can-buy-a-pair-of-Butterfly-EnergyForce-11-s&s=3c84fc5a7a3d606bd5e661f368ed3358,Conor McAdam,0
A.MAZUNOV-FL OFF+ and Tenergy 80,showthread.php?7814-A-MAZUNOV-FL-OFF-and-Tenergy-80&s=3c84fc5a7a3d606bd5e661f368ed3358,headshoter,1
Blade/Tenergy Advice Needed,showthread.php?7726-Blade-Tenergy-Advice-Needed&s=3c84fc5a7a3d606bd5e661f368ed3358,Hucks,9
similar to spin art,showthread.php?7592-similar-to-spin-art&s=3c84fc5a7a3d606bd5e661f368ed3358,el gato,8
Tenergy 64 vs 80 On BH,showthread.php?7589-Tenergy-64-vs-80-On-BH&s=3c84fc5a7a3d606bd5e661f368ed3358,Jak,15
Need Help On BH Rubber.,showthread.php?7598-Need-Help-On-BH-Rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,Jak,2
Backhand rubber,showthread.php?7500-Backhand-rubber&s=3c84fc5a7a3d606bd5e661f368ed3358,zlindsey,2
Viscaria,showthread.php?6784-Viscaria&s=3c84fc5a7a3d606bd5e661f368ed3358,Wiseman,3
Need help with table tennis websites.,showthread.php?7295-Need-help-with-table-tennis-websites&s=3c84fc5a7a3d606bd5e661f368ed3358,xVill,1
Need help for my Gergely Alpha,showthread.php?6799-Need-help-for-my-Gergely-Alpha&s=3c84fc5a7a3d606bd5e661f368ed3358,LiRongJian,4
cheapest tenergy in uk,showthread.php?6750-cheapest-tenergy-in-uk&s=3c84fc5a7a3d606bd5e661f368ed3358,popnoodle,0
Butterfly Photino HELP,showthread.php?8320-Butterfly-Photino-HELP&s=3c84fc5a7a3d606bd5e661f368ed3358,harveyaquino,1
Butterfly lezoline shoes,showthread.php?8073-Butterfly-lezoline-shoes&s=3c84fc5a7a3d606bd5e661f368ed3358,lgreggs,8
Butterfly Equiptment Japan,showthread.php?7979-Butterfly-Equiptment-Japan&s=3c84fc5a7a3d606bd5e661f368ed3358,agold,12
Butterfly Bastian Steger Blade,showthread.php?7746-Butterfly-Bastian-Steger-Blade&s=3c84fc5a7a3d606bd5e661f368ed3358,jeycop,0
New blade decision,showthread.php?6482-New-blade-decision&s=3c84fc5a7a3d606bd5e661f368ed3358,Albert Lau,7
New Blade,showthread.php?6413-New-Blade&s=3c84fc5a7a3d606bd5e661f368ed3358,Wino,2
Butterfly Japan Advice,showthread.php?6353-Butterfly-Japan-Advice&s=3c84fc5a7a3d606bd5e661f368ed3358,Albert Lau,1
highest arc tenergy ?,showthread.php?5598-highest-arc-tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,foz,3
PROTT intimately?,showthread.php?5399-PROTT-intimately&s=3c84fc5a7a3d606bd5e661f368ed3358,Chengy Bang,1
best TENERGY for my game ?,showthread.php?4939-best-TENERGY-for-my-game&s=3c84fc5a7a3d606bd5e661f368ed3358,Alborz,4
Fake Tenergy Revealed,showthread.php?1460-Fake-Tenergy-Revealed&s=3c84fc5a7a3d606bd5e661f368ed3358,Dan,31
Tenenergy 05 vs Donic Baracuda,showthread.php?4948-Tenenergy-05-vs-Donic-Baracuda&s=3c84fc5a7a3d606bd5e661f368ed3358,Topspinner,3
"Which Blade for Tenergy 80, Timo Boll Spirit or Michael Maze?",showthread.php?4956-Which-Blade-for-Tenergy-80-Timo-Boll-Spirit-or-Michael-Maze&s=3c84fc5a7a3d606bd5e661f368ed3358,Allstar,3
Review Tenergy 80 (video),showthread.php?4500-Review-Tenergy-80-(video)&s=3c84fc5a7a3d606bd5e661f368ed3358,cheli,12
"Tenergy 05, 64 special versions",showthread.php?4783-Tenergy-05-64-special-versions&s=3c84fc5a7a3d606bd5e661f368ed3358,MDanielCRO,24
Cheap Tenergy 05,showthread.php?4779-Cheap-Tenergy-05&s=3c84fc5a7a3d606bd5e661f368ed3358,kjanko,2
help me,showthread.php?4579-help-me&s=3c84fc5a7a3d606bd5e661f368ed3358,noizy2012,2
Sapphira? Anyone ever played with one?,showthread.php?2239-Sapphira-Anyone-ever-played-with-one&s=3c84fc5a7a3d606bd5e661f368ed3358,Knuckle Ball,5
Unboxing Tenergy 80,showthread.php?4493-Unboxing-Tenergy-80&s=3c84fc5a7a3d606bd5e661f368ed3358,cheli,2
Help! Changed BH rubber from KLT Goldenstar to Butterfly Bryce Speed...,showthread.php?4449-Help!-Changed-BH-rubber-from-KLT-Goldenstar-to-Butterfly-Bryce-Speed&s=3c84fc5a7a3d606bd5e661f368ed3358,Totoh,3
Jun Mizutani tests Tenergy 80 (VIDEO),showthread.php?4424-Jun-Mizutani-tests-Tenergy-80-(VIDEO)&s=3c84fc5a7a3d606bd5e661f368ed3358,TableTennisDaily,12
From Sriver to Tenergy,showthread.php?4395-From-Sriver-to-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,malidavid,4
Tenergy (1.9 vs 2.1 weight) on Timo Boll ALC and Jun Mizutani,showthread.php?4345-Tenergy-(1-9-vs-2-1-weight)-on-Timo-Boll-ALC-and-Jun-Mizutani&s=3c84fc5a7a3d606bd5e661f368ed3358,desmondfun,6
Innerforce super zlc,showthread.php?5613-Innerforce-super-zlc&s=3c84fc5a7a3d606bd5e661f368ed3358,runnerboy,4
Tennergy 80?,showthread.php?4348-Tennergy-80&s=3c84fc5a7a3d606bd5e661f368ed3358,revulucao,2
Rubbers for the galaxy (yinhe) t11+,showthread.php?3794-Rubbers-for-the-galaxy-(yinhe)-t11&s=3c84fc5a7a3d606bd5e661f368ed3358,dachille,1
What is Bryce Speed FX like and should it be for BH or FH?,showthread.php?3842-What-is-Bryce-Speed-FX-like-and-should-it-be-for-BH-or-FH&s=3c84fc5a7a3d606bd5e661f368ed3358,ttunreal,0
Tenergy 64 vs Tenergy 64 fx vs Tenergy 05 vs Tenergy 05 fx,showthread.php?3757-Tenergy-64-vs-Tenergy-64-fx-vs-Tenergy-05-vs-Tenergy-05-fx&s=3c84fc5a7a3d606bd5e661f368ed3358,XIII,2
Butterfly Tenergy 64,showthread.php?3328-Butterfly-Tenergy-64&s=3c84fc5a7a3d606bd5e661f368ed3358,deadpixel,8
Rubber protectors Tenergy?,showthread.php?3155-Rubber-protectors-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,EsoXLucius,9
Differen Tenergies.,showthread.php?2600-Differen-Tenergies&s=3c84fc5a7a3d606bd5e661f368ed3358,MaLong#1,8
Tenergy Question,showthread.php?2259-Tenergy-Question&s=3c84fc5a7a3d606bd5e661f368ed3358,MatthewTableTennis,8
Best place to get tenergy?,showthread.php?688-Best-place-to-get-tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,lgreggs,4
Tenergy 64 FX ????,showthread.php?1331-Tenergy-64-FX&s=3c84fc5a7a3d606bd5e661f368ed3358,moriguchi2,11
Tbs fh: T05 bh:t05/t64?,showthread.php?1494-Tbs-fh-T05-bh-t05-t64&s=3c84fc5a7a3d606bd5e661f368ed3358,Michellius,6
Bryce FX alternative,showthread.php?1183-Bryce-FX-alternative&s=3c84fc5a7a3d606bd5e661f368ed3358,Ian,8
Looking for cheap Tenergy's!,showthread.php?1212-Looking-for-cheap-Tenergy-s!&s=3c84fc5a7a3d606bd5e661f368ed3358,Olecool,0
What Tenergy?,showthread.php?1191-What-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,Anders,16
alternative for tenergy?,showthread.php?696-alternative-for-tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,sidthelefty,12
Spin art,showthread.php?32-Spin-art&s=3c84fc5a7a3d606bd5e661f368ed3358,Tamez_94,15
Tenergy 05 Review,showthread.php?939-Tenergy-05-Review&s=3c84fc5a7a3d606bd5e661f368ed3358,Tom,29
Timo Boll and his tuned Tenergy,showthread.php?610-Timo-Boll-and-his-tuned-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,bFeee,7
Tenergy,showthread.php?179-Tenergy&s=3c84fc5a7a3d606bd5e661f368ed3358,Atomichaos,3
